make,model,year,price,odometer
Tesla,Model S,2017,24990.0,153000
Honda,CR-V,2009,11950.0,89825
Jeep,Compass,2022,20994.0,89154
Volkswagen,T-Roc,2025,18900.0,126000
Renault,Clio,2017,9900.0,98000
Alfa-Romeo,Giulia,2021,29990.0,69800
Renault,Espace,2015,15990.0,98750
Aston-Martin,Valkyrie,2024,4300000.0,80
Dodge,RAM,2020,63800.0,47072
Opel,Zafira,2016,11880.0,97800
Audi,Q5,2022,41749.0,57450
Toyota,RAV 4,2011,6500.0,215000
Audi,A6 allroad,2015,22990.0,130000
Volvo,XC60,2011,10900.0,172568
Cadillac,ATS,2015,23000.0,80240
Honda,Jazz,2020,18990.0,31900
Mercedes-Benz,CLA 200,2023,38300.0,14030
Nissan,Micra,2021,12900.0,68000
Alfa-Romeo,159,2009,3950.0,177717
Peugeot,2008,2016,8490.0,141797
Citroen,C5 X,2022,24900.0,53400
Volvo,XC60,2018,26789.0,111540
Land-Rover,Discovery Sport,2018,18990.0,132565
Land-Rover,Discovery Sport,2017,13500.0,181000
Jeep,Compass,2017,15800.0,71344
Citroen,C-Elysée,2017,6500.0,165000
Audi,A6,2021,38280.0,87470
Ford,Mustang,2016,34990.0,50143
CUPRA,Formentor,2024,35700.0,10
Land-Rover,Range Rover Velar,2021,40990.0,55900
Jeep,Renegade,2019,16900.0,98000
Dacia,Sandero,2024,14490.0,10
Citroen,C1,2012,1949.0,227779
Lexus,RX 450h,2014,22970.0,85070
Jaguar,XJR,1995,17900.0,97546
BMW,X3,2018,20799.0,225897
Volkswagen,up!,2018,8990.0,68000
BMW,520,2017,18390.0,131000
Chevrolet,Orlando,2012,12990.0,132900
Rolls-Royce,Silver Seraph,1999,54850.0,67000
Toyota,Corolla,2021,20890.0,46000
Dacia,Duster,2025,20195.0,0
Skoda,Kodiaq,2021,35480.0,86021
Jaguar,I-Pace,2019,31990.0,41000
Land-Rover,Discovery,2014,15999.0,214000
Toyota,C-HR,2017,13980.0,105100
Cadillac,CTS,2016,18990.0,99300
SEAT,Mii,2015,6950.0,58341
Tesla,Model S,2017,19999.0,193288
Jaguar,XJS,1995,29890.0,118727
Aston-Martin,Lagonda,2015,799875.0,1887
Hyundai,BAYON,2022,12900.0,20908
Nissan,Qashqai,2021,20900.0,40640
Hyundai,i20,2016,9000.0,120370
Honda,Jazz,2013,7500.0,106590
Volkswagen,Golf GTE,2015,9999.0,235305
Volkswagen,T-Cross,2022,16990.0,52797
Skoda,Octavia,2014,10799.0,163143
Mercedes-Benz,E 350,2006,5999.0,248121
Opel,Grandland,2024,32385.0,3000
Jaguar,E-Pace,2021,34710.0,42073
Ford,Focus,2017,11900.0,99000
Volkswagen,T-Roc,2019,17899.0,63441
Fiat,500,2014,7900.0,94400
Opel,Crossland X,2020,13990.0,56400
Suzuki,Vitara,2021,17690.0,20725
Tesla,Model 3,2022,34950.0,44553
Lexus,RX 450h,2019,42400.0,54442
Nissan,X-Trail,2018,19990.0,98600
Mercedes-Benz,B 200,2012,7990.0,240000
Tesla,Model 3,2019,19700.0,104940
Audi,S3,2017,26999.0,70000
Audi,Q5,2019,23980.0,155600
Jeep,Avenger,2024,20300.0,20202
Cadillac,Escalade,2008,24900.0,134412
Kia,Picanto,2018,6949.0,100862
Dacia,Sandero,2023,15980.0,13400
Audi,A4,2014,14900.0,100881
Jaguar,XJ,2012,10999.0,230900
BMW,520,2018,19900.0,220000
Mercedes-Benz,A 180,2012,8950.0,187879
Tesla,Model 3,2019,27490.0,111354
Skoda,Octavia,2021,19980.0,106457
Honda,CR-V,2020,22838.0,56893
Dodge,RAM,2022,44900.0,3870
Volvo,XC60,2023,44250.0,36548
Jaguar,S-Type,2002,4300.0,163000
Cadillac,Eldorado,1999,11000.0,62750
Nissan,Juke,2015,8950.0,102272
Volvo,XC60,2019,35890.0,49300
BMW,118,2012,10500.0,110590
Skoda,Karoq,2020,19995.0,40837
Toyota,Yaris,2023,14900.0,18101
Fiat,Panda,2019,9200.0,50000
Alfa-Romeo,Junior,2024,33895.0,6000
BMW,X2,2024,45590.0,1728
Opel,Karl,2016,7950.0,59000
Hyundai,TUCSON,2018,17500.0,61736
Fiat,Punto,2016,6900.0,89700
Ford,Mustang Mach-E,2022,34750.0,7362
Lexus,RX 400,2009,15000.0,125000
Fiat,Tipo,2023,20980.0,100
Honda,CR-V,2015,17995.0,86890
Peugeot,308,2023,26950.0,2564
Maserati,Quattroporte,2006,15800.0,128000
Nissan,Leaf,2020,16990.0,67800
Audi,A5,2022,29800.0,147451
Jaguar,F-Pace,2021,43880.0,41095
Honda,Civic,2008,3445.0,245109
Maserati,GranTurismo,2014,65900.0,30600
Citroen,C4 Picasso,2016,7999.0,169000
Alfa-Romeo,Stelvio,2022,74975.0,150
Jaguar,E-Pace,2018,29399.0,44810
Opel,Crossland,2021,13990.0,59046
Ford,Focus,2019,12800.0,72600
Volkswagen,Polo,2000,590.0,280000
Suzuki,Swift,2024,17990.0,10
Toyota,Auris,2017,12650.0,124000
Opel,Grandland X,2019,12990.0,117250
Suzuki,Swift,2018,15345.0,124355
Fiat,Panda,2023,9890.0,35185
Alfa-Romeo,Stelvio,2023,41700.0,7472
Porsche,Macan,2021,79965.0,31814
Peugeot,Partner,2009,5990.0,34000
CUPRA,Formentor,2021,27449.0,48928
Audi,Q5,2020,29500.0,107648
Tesla,Model 3,2019,19850.0,84259
Jaguar,F-Type,2020,62900.0,7823
Land-Rover,Range Rover Sport,2018,31450.0,134771
Toyota,Corolla,2023,24990.0,14985
Porsche,Cayman,2007,23899.0,189859
Skoda,Citigo,2012,6900.0,58440
CUPRA,Formentor,2022,27500.0,26707
Alfa-Romeo,Giulietta,2020,19990.0,84775
Cadillac,CTS,2019,43800.0,52869
Suzuki,Baleno,2018,13950.0,61081
Jeep,Cherokee,2017,15990.0,125000
Jeep,Compass,2023,30400.0,20800
Skoda,Octavia,2014,12590.0,80000
Kia,Sorento,2024,45979.0,22963
Ford,Mondeo,2008,7990.0,77424
Dodge,Coronet,1969,75000.0,100000
Skoda,Octavia,2014,6200.0,285775
Peugeot,2008,2023,17900.0,29382
Skoda,Octavia,2022,26890.0,73000
Tesla,Model 3,2020,27850.0,99942
Chevrolet,Suburban,2023,89950.0,24503
Jaguar,XF,2022,39980.0,12000
CUPRA,Leon,2023,22627.0,38715
Dodge,Challenger,2019,57500.0,11000
Audi,A1,2010,7300.0,142000
Dacia,Duster,2021,13980.0,35550
Dacia,Duster,2025,27950.0,8802
BMW,X1,2021,28990.0,41653
Honda,Odyssey,2017,24995.0,81807
Skoda,Kamiq,2023,23099.0,32252
Fiat,Tipo,2020,13900.0,30969
Volkswagen,T-Cross,2019,13900.0,110500
Cadillac,Escalade,2017,74900.0,53380
SEAT,Leon,2005,1885.0,250038
Dodge,Charger,2018,51200.0,90100
Dodge,Challenger,2019,149990.0,9700
Land-Rover,Range Rover Velar,2020,45650.0,69490
Toyota,RAV 4,2018,22990.0,14000
Fiat,Freemont,2012,13990.0,140305
Dodge,Grand Caravan,2019,32490.0,78109
Honda,CR-V,2019,18900.0,100000
Corvette,C3,1971,21800.0,85000
Suzuki,SX4,2011,6990.0,99635
Jaguar,XF,2016,23300.0,42800
BMW,i3,2014,9950.0,88000
Fiat,Panda,2023,12950.0,7700
Volvo,C30,2010,3490.0,236500
Chevrolet,Silverado,2023,65990.0,18500
Land-Rover,Range Rover,2022,115900.0,96863
BMW,316,2012,10590.0,100976
Lamborghini,Urus,2022,345000.0,8500
SEAT,Arona,2022,16777.0,3200
Ford,Kuga,2017,13000.0,88500
Jeep,Avenger,2025,27450.0,10
Tesla,Model Y,2021,29999.0,186572
CUPRA,Leon,2021,20809.0,79997
Maserati,Levante,2020,39900.0,91000
Dacia,Duster,2011,3900.0,290500
Land-Rover,Discovery Sport,2016,16950.0,102095
Honda,Civic,2018,14980.0,106356
Volkswagen,e-Golf,2017,13950.0,90844
Citroen,C3 Picasso,2009,4500.0,170000
CUPRA,Formentor,2023,26450.0,19136
Chevrolet,Aveo,2012,5500.0,100600
Chevrolet,Impala,1967,36000.0,1000
Jaguar,F-Pace,2020,34900.0,20641
Opel,Corsa,2024,16480.0,5485
Opel,Mokka,2018,13800.0,42279
Toyota,Camry,2019,24490.0,62654
Jaguar,E-Pace,2020,25900.0,105178
Corvette,C3,1968,38900.0,102500
Jeep,Compass,2022,26736.0,21648
SEAT,Ateca,2022,26980.0,58900
Alfa-Romeo,Giulietta,2017,11990.0,47494
Peugeot,5008,2024,32990.0,12140
Honda,Civic,2020,22790.0,39129
Volkswagen,Scirocco,2011,7650.0,154028
Mercedes-Benz,A 200,2021,30999.0,55000
Ford,Fiesta,2017,8780.0,123200
Toyota,Auris,2017,15990.0,35700
Suzuki,S-Cross,2022,22990.0,2345
Hyundai,TUCSON,2020,23999.0,26893
Porsche,Cayenne,2005,5450.0,304298
Nissan,Pixo,2010,1950.0,181198
Land-Rover,Defender,2021,67500.0,47310
Tesla,Model 3,2019,23700.0,128307
Hyundai,TUCSON,2016,16950.0,168511
Land-Rover,Range Rover Evoque,2016,19990.0,134000
Tesla,Model S,2014,15000.0,530000
Ferrari,360,2004,116000.0,30235
Dacia,Sandero,2017,11790.0,60646
Fiat,Panda,2008,3295.0,179455
SEAT,Ibiza,2013,7490.0,91000
Toyota,Yaris Cross,2024,24500.0,19592
Land-Rover,Range Rover Velar,2019,55440.0,49365
Jaguar,E-Pace,2022,21900.0,192251
Mercedes-Benz,C 220,2008,6999.0,251408
Citroen,C3,2021,10790.0,26000
Citroen,Berlingo,2024,23279.0,10
CUPRA,Leon,2022,25470.0,31945
Fiat,500,2008,5900.0,152000
Skoda,Scala,2021,14890.0,41000
Peugeot,5008,2014,5500.0,220691
CUPRA,Ateca,2024,48900.0,8900
Suzuki,Swift,2024,15490.0,7500
Toyota,Aygo,2016,8999.0,73061
Chevrolet,Aveo,2010,3490.0,200000
Cadillac,SRX,2008,5895.0,149627
CUPRA,Born,2022,26999.0,11138
Volkswagen,Tiguan,2008,7900.0,173000
Audi,A5,2015,22780.0,62012
Kia,Niro,2019,13990.0,149710
Mercedes-Benz,A 250,2020,23495.0,71023
Volvo,V60,2015,9900.0,271897
Tesla,Model S,2024,102000.0,6500
Fiat,500,2021,11490.0,26294
Alfa-Romeo,Giulietta,2016,10899.0,65087
Kia,Sportage,2016,16550.0,107000
Dodge,Coronet,1967,27500.0,100000
Cadillac,Escalade,2023,147100.0,15800
Porsche,991,2014,69995.0,195493
Dacia,Duster,2018,14950.0,85817
Audi,A3,2014,11750.0,163877
Volvo,XC60,2021,28900.0,142500
Alfa-Romeo,Giulia,2016,13900.0,233400
Toyota,Auris,2018,16989.0,36630
Renault,Kadjar,2022,17950.0,14731
CUPRA,Leon,2024,31990.0,14316
Jaguar,F-Pace,2016,18900.0,154000
Jeep,Renegade,2017,10500.0,137000
Porsche,992,2021,209000.0,16100
Land-Rover,Defender,2024,73900.0,7500
Fiat,Tipo,2021,15900.0,57000
Maserati,Ghibli,2019,38000.0,138000
Renault,Kadjar,2019,13991.0,82496
Tesla,Model Y,2022,33990.0,74741
Opel,Corsa,2022,15650.0,11900
Maserati,MC20,2022,294970.0,4201
Audi,A3,2019,19990.0,90280
Peugeot,2008,2022,16990.0,29070
Skoda,Kamiq,2024,27490.0,5000
Mercedes-Benz,GLB 200,2020,25950.0,123879
Fiat,500L,2015,5000.0,290000
Cadillac,CTS,2017,58990.0,61300
Jeep,Renegade,2023,26900.0,394
Cadillac,CTS,2005,5600.0,122000
Nissan,NV200,2011,10950.0,111530
Jaguar,F-Pace,2021,51750.0,54750
Dacia,Duster,2022,16690.0,32108
Hyundai,i10,2022,8900.0,88000
Lamborghini,Urus,2025,489900.0,10
Toyota,C-HR,2021,24950.0,28244
Volkswagen,Passat Variant,2001,1190.0,325000
Opel,Grandland X,2023,21750.0,38239
Jaguar,E-Pace,2021,29900.0,66690
Ford,Focus,2020,16600.0,55953
Hyundai,i20,2016,7750.0,144669
Opel,Astra,2016,9750.0,90227
Jeep,Compass,2020,18600.0,41928
Dodge,Durango,2004,3950.0,385283
Renault,Captur,2021,15950.0,31952
Peugeot,307,2006,1980.0,318943
CUPRA,Leon,2021,22690.0,57050
Skoda,Octavia,2023,26980.0,37717
Mercedes-Benz,GLC 250,2018,27000.0,60068
Citroen,C3,2016,6500.0,98300
BMW,X1,2022,27500.0,50000
Rolls-Royce,Silver Spirit,1981,16500.0,135000
Jeep,Wrangler,2021,51950.0,30587
Mercedes-Benz,C 180,2009,2995.0,289780
Mercedes-Benz,EQB 250,2023,36950.0,20052
Ford,Mustang,2020,29890.0,45610
Volvo,XC60,2021,30880.0,73462
Jeep,Compass,2021,20900.0,21400
Mercedes-Benz,C 220,2014,8500.0,242397
Alfa-Romeo,Stelvio,2019,19999.0,102000
Renault,Captur,2021,18049.0,36078
Jaguar,E-Pace,2020,23990.0,89890
Chevrolet,Corvette,2016,139999.0,17500
Fiat,Panda,2007,2299.0,112882
Opel,Ampera,2013,9949.0,117543
Land-Rover,Range Rover Evoque,2020,26900.0,71500
Honda,Jazz,2021,17990.0,29200
Rolls-Royce,Ghost,2010,94900.0,93000
BMW,216,2018,9950.0,138000
Land-Rover,Range Rover,2006,39950.0,59512
Volvo,XC60,2020,27990.0,99544
Fiat,500L,2021,13400.0,40000
Citroen,Berlingo,2019,15990.0,39000
Toyota,RAV 4,2016,18495.0,118985
Dodge,Charger,2022,34487.0,57528
Ford,Focus,2018,12888.0,88038
Citroen,Berlingo,2016,12375.0,78216
Honda,CR-V,2022,27900.0,65528
Honda,HR-V,2018,16900.0,70000
Fiat,Panda,2023,10990.0,39900
Skoda,Kamiq,2022,24950.0,34500
Rolls-Royce,Cullinan,2020,349900.0,125
Lexus,ES 300,2020,25990.0,127000
Volkswagen,Polo,2024,18980.0,125
Volkswagen,Golf,2022,27999.0,53000
Cadillac,Deville,1968,59000.0,14800
Alfa-Romeo,Giulia,2017,39990.0,131900
Alfa-Romeo,Stelvio,2019,23500.0,97100
Hyundai,BAYON,2024,18450.0,15
Toyota,Aygo,2011,3440.0,218488
Hyundai,i20,2023,13890.0,35141
Ford,Kuga,2015,17490.0,31000
Tesla,Model 3,2022,32750.0,21995
Chevrolet,Aveo,2012,4500.0,106000
Cadillac,Deville,1976,19900.0,170000
Jeep,Renegade,2017,12995.0,86322
Honda,Civic,2022,28900.0,41000
Toyota,Aygo,2014,5990.0,79648
Renault,Scenic,2011,3499.0,186010
Suzuki,Vitara,2023,19999.0,22872
SEAT,Leon,2020,11950.0,74085
Ford,Fiesta,2009,3999.0,186306
BMW,X5,2014,28780.0,74716
SEAT,Arona,2024,25590.0,12453
Tesla,Model 3,2021,42900.0,38000
Chevrolet,Camaro,1968,44990.0,99999
Cadillac,Escalade,2018,64500.0,54000
BMW,118,2017,12390.0,111300
Nissan,Qashqai,2023,23900.0,10207
Honda,FR-V,2007,3600.0,178122
Skoda,Octavia,2019,19990.0,75166
Kia,Soul,2024,22990.0,2490
Hyundai,i20,2023,14900.0,1376
Land-Rover,Range Rover Sport,2013,19995.0,139342
Skoda,Scala,2024,22900.0,6331
Volvo,XC60,2024,45900.0,17000
Suzuki,Across,2023,43588.0,2800
Fiat,Punto Evo,2012,4950.0,145638
Lexus,UX 200,2023,30995.0,20943
Mercedes-Benz,EQC 400,2020,34990.0,69436
Jeep,Compass,2023,23900.0,53866
Lexus,RX 450h,2020,41900.0,115793
Lamborghini,Urus,2024,337365.0,119
Chevrolet,Blazer,1999,6490.0,255383
Toyota,Yaris,2021,34950.0,6255
Hyundai,BAYON,2021,11499.0,85341
Nissan,Juke,2023,19990.0,17944
Cadillac,Escalade,2013,14990.0,205604
Renault,Kadjar,2021,18500.0,37084
Nissan,Qashqai,2024,26880.0,25962
Fiat,500,2021,9900.0,86608
Dodge,Durango,2021,54999.0,41600
Volkswagen,T-Roc,2018,15870.0,81642
Jaguar,F-Pace,2021,33900.0,129470
CUPRA,Leon,2024,24390.0,24000
Peugeot,3008,2022,19990.0,81659
Jaguar,I-Pace,2019,38500.0,45000
Volkswagen,Golf,2019,21490.0,38890
Cadillac,CTS,2015,23990.0,76470
SEAT,Arona,2019,11600.0,38023
Peugeot,3008,2017,12700.0,212000
Rolls-Royce,Wraith,2015,198000.0,83000
Toyota,RAV 4,2022,25900.0,99309
Audi,A6,2020,27800.0,89100
Cadillac,Deville,1960,29000.0,89000
Citroen,Jumpy,2019,22990.0,45953
Cadillac,SRX,2016,23950.0,91569
Chevrolet,Matiz,2009,400.0,112536
Fiat,Ducato,2012,9490.0,179990
Lexus,RX 350,2024,64490.0,10
BMW,320,2023,43890.0,24200
Jaguar,E-Pace,2018,19490.0,153856
Peugeot,208,2022,13690.0,17000
BMW,740,2021,49980.0,86000
Honda,Civic,2020,39590.0,14957
Audi,A3,2020,18800.0,46000
Lamborghini,Aventador,2014,310000.0,11763
Citroen,C4 Cactus,2020,11800.0,87000
Land-Rover,Defender,2011,39800.0,127000
Hyundai,KONA,2022,17000.0,38000
Peugeot,Rifter,2021,18110.0,82821
Dacia,Duster,2024,22800.0,250
Mercedes-Benz,C 220,2012,11990.0,172450
Kia,Rio,2015,7950.0,139398
Chevrolet,Camaro,2024,45900.0,2553
Kia,Sportage,2024,35980.0,15
Renault,Clio,2019,8950.0,120650
Suzuki,Swift,2014,5950.0,186323
Audi,Q7,2021,57990.0,42347
Porsche,Macan,2016,31990.0,185160
Audi,A3,2007,4990.0,120583
BMW,520,2020,29700.0,71853
Lexus,RX 450h,2017,34990.0,31200
Hyundai,i10,2022,13990.0,8000
Volvo,S60,2020,29900.0,65000
Jeep,Renegade,2019,16900.0,84500
Renault,Talisman,2016,14999.0,60754
Nissan,X-Trail,2017,12900.0,154000
Kia,Sportage,2025,35900.0,10
CUPRA,Formentor,2023,22890.0,18000
Land-Rover,Discovery Sport,2017,13999.0,123000
Skoda,Kamiq,2021,18339.0,92979
Jaguar,F-Pace,2019,20990.0,135371
Audi,A3,2011,7450.0,133000
SEAT,Arona,2020,16450.0,44527
SEAT,Tarraco,2020,23890.0,77392
CUPRA,Formentor,2022,30900.0,37095
CUPRA,Formentor,2021,27950.0,95587
Alfa-Romeo,Stelvio,2018,29950.0,50979
Hyundai,i30,2019,15490.0,58000
Mercedes-Benz,C 200,2021,32900.0,59110
Hyundai,TUCSON,2024,33900.0,10
Chevrolet,Aveo,2012,5950.0,96253
Tesla,Model X,2017,31450.0,99879
Alfa-Romeo,Giulia,2016,16900.0,76353
Toyota,Yaris,2020,14990.0,43206
Renault,Clio,2021,13690.0,61095
CUPRA,Formentor,2023,35370.0,17519
Fiat,Freemont,2014,10890.0,99999
Hyundai,IONIQ,2017,10900.0,145341
Land-Rover,Range Rover Sport,2025,229490.0,2500
Tesla,Model Y,2024,46990.0,10839
Skoda,Fabia,2020,13499.0,45000
Fiat,Punto,2008,3980.0,105662
Dodge,Charger,2019,35000.0,50000
Mercedes-Benz,C 220,2020,15900.0,282000
Ford,Kuga,2022,23490.0,66958
Audi,Q2,2018,19449.0,56305
Kia,Picanto,2012,4950.0,143775
Volvo,C40,2023,36875.0,39980
CUPRA,Formentor,2022,21480.0,103600
Volvo,V60,2019,28490.0,63693
Kia,Ceed SW / cee'd SW,2023,22900.0,18860
Tesla,Model S,2018,26950.0,140014
Volvo,XC60,2021,29980.0,79309
CUPRA,Ateca,2021,31785.0,35804
Bentley,Flying Spur,2023,219900.0,29875
Hyundai,i10,2018,7650.0,119413
Jeep,Compass,2023,23800.0,53402
Cadillac,Fleetwood,1951,23500.0,50000
Hyundai,BAYON,2022,16990.0,11756
Opel,Insignia,2021,24500.0,47900
Alfa-Romeo,156,2006,9950.0,175984
Chevrolet,Matiz,2009,1699.0,189961
Mercedes-Benz,C 200,2003,8900.0,49000
Jeep,Compass,2018,20950.0,92030
Chevrolet,Kalos,2008,2900.0,125000
Skoda,Enyaq,2022,33990.0,30700
Volvo,V90,2018,16400.0,265579
Fiat,500,2015,6700.0,115000
Land-Rover,Range Rover,2016,32900.0,157887
Dacia,Duster,2015,6792.0,246550
Ford,Focus,2018,11799.0,148737
Aston-Martin,Vantage,2024,275000.0,3000
Alfa-Romeo,Stelvio,2021,36990.0,46370
Opel,Mokka X,2019,17950.0,17990
Kia,XCeed,2023,26450.0,13372
Volvo,XC60,2021,35890.0,16906
Porsche,Cayenne,2020,87890.0,55000
Tesla,Model S,2017,36950.0,183728
Citroen,C3,2021,10200.0,88000
Dodge,Challenger,2020,39987.0,45087
Toyota,C-HR,2017,17495.0,115000
Rolls-Royce,Wraith,2014,194000.0,71200
Audi,Q3,2019,27490.0,38475
Suzuki,Vitara,2025,20990.0,20
BMW,218,2022,29990.0,17200
Opel,Zafira,2006,3500.0,183400
Tesla,Model S,2022,88980.0,22500
Toyota,Corolla,2021,21490.0,19000
Opel,Corsa,2024,16881.0,5688
SEAT,Leon,2019,11990.0,86200
Chevrolet,Captiva,2011,6950.0,146327
Renault,Latitude,2011,7900.0,199596
Tesla,Model S,2019,36500.0,138000
Jaguar,XF,2023,38990.0,70226
Renault,Arkana,2022,22499.0,14000
Lexus,RX 350h,2023,62990.0,9690
Volvo,V40,2016,13970.0,83066
Peugeot,308,2016,7490.0,116000
Citroen,C3,2009,2990.0,130000
Lexus,UX 250h,2022,28990.0,53676
Dacia,Duster,2024,22800.0,250
BMW,X1,2021,23999.0,42412
Hyundai,ELANTRA,2022,21480.0,28307
Renault,Megane,2017,12445.0,118876
Kia,Picanto,2022,11985.0,18282
BMW,325,2009,3000.0,293223
Fiat,Tipo,2022,16850.0,57817
Honda,HR-V,2022,28700.0,45369
Cadillac,ATS,2014,18388.0,96000
Toyota,Yaris,2018,11990.0,53850
Jeep,Compass,2019,22990.0,85963
Honda,FR-V,2009,6900.0,150600
Alfa-Romeo,Stelvio,2019,28990.0,92600
Suzuki,S-Cross,2023,23980.0,4644
Ford,Explorer,2024,42990.0,1124
Jaguar,XJ,2006,15400.0,165000
Peugeot,208,2024,14500.0,20
Suzuki,Vitara,2018,13900.0,89095
Jeep,Renegade,2020,19490.0,34757
Cadillac,ATS,2018,22950.0,58140
Jeep,Compass,2021,27600.0,65775
Honda,CR-V,2021,26900.0,55404
Tesla,Model S,2017,22300.0,210500
Alfa-Romeo,Giulietta,2010,11500.0,120000
Renault,Kadjar,2019,14490.0,84211
Honda,HR-V,2024,28980.0,10
Volkswagen,T-Roc,2018,16950.0,54654
Aston-Martin,DB11,2018,134990.0,48200
CUPRA,Formentor,2023,27410.0,24241
Mercedes-Benz,C 180,2024,35950.0,1500
Suzuki,Jimny,2013,8900.0,41500
Peugeot,208,2023,17290.0,48508
Opel,Mokka,2023,20580.0,6720
CUPRA,Formentor,2021,25990.0,72259
